.2e-1,.810e-1
.4e-1,.995e-1
.6e-1,.1185
.8e-1,.1370
.10,.1560
.12,.1745
.14,.1935
.16,.2120
.18,.2310
.20,.2495
.22,.2685
.24,.2870
.26,.3060
.28,.3245
.30,.3435
.32,.3620
.34,.3810
.36,.3995
.38,.4185
.40,.4370
.42,.4560
.44,.4745
.46,.4935
.48,.5120
.50,.5310
.52,.5495
.54,.5685
.56,.5870
.58,.6060
.60,.6245
.62,.6435
.64,.6620
.66,.6810
.68,.6995
.70,.7185
.72,.7370
.74,.7560
.76,.7745
.78,.7935
.80,.8120
.82,.8310
.84,.8495
.86,.8685
.88,.8870
.90,.9060
.92,.9245
.94,.9435
.96,.9620
.98,.9810
1,1
